SITE,YEAR,TRANSECT,INTERCEPT,DBcm,SPP,INTcm,LENGTHcm,WIDTHcm,HEIGHTcm,STEMS,FLOWERS,KBBeggs,KBBlarva,NOTES,Area,
CZ4F,2001,14,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VHSP,X,,,,,,,,,0,
CZ4F,2001,,14-1,45.3,LUPE,5,7,4,33/33,,,,,,88,
CZ4F,2001,,14-2,45.55,LUPE,10,32,11,26/33,,,,,,1106,
CZ4F,2001,,14-3,45.85,LUPE,5,13,12,28/32,,,,,,490,
CZ4F,2001,,14-4,46.8,LUPE,10,18,13,23/29,,,,,,735,
CZ4F,2001,,14-5,47.7,LUPE,10,13,10,14/19,,,,,,408,
CZ4F,2001,,14-6,45.55,LUPE,12,17,10,17/19,,,,,,534,
CZ4F,2001,,14-7,48.65,LUPE,15,16,6,22/22,,,,,,302,
CZ4F,2001,,14-8,49.9,LUPE,10,20,15,25/28,,,,,,942,
CZ4F,2001,,14-9,52.05,LUPE,15,25,19,20/28,,,,,,1492,
CZ4F,2001,,14-10,52.25,LUPE,10,17,10,20/27,,,,,,534,
CZ4F,2001,14,14-11,52.4,LUPE,5,6,7,18/19,1,0,,,,132,
CZ4F,2001,,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,15-1,13.65,LUPE,10,19,9,18/20,2,0,,,,537,
CZ4F,2001,,15-2,14.35,LUPE,4,6,5,12-Dec,1,0,,,,94,
CZ4F,2001,,15-3,17.8,LUPE,10,16,14,11-Oct,1,0,,,,704,
CZ4F,2001,16,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,16-1,8.7,LUPE,5,9,7,11-Sep,1,0,,,,198,
CZ4F,2001,,16-2,9.3,LUPE,5,9,3,10-Oct,1,0,,,,85,
CZ4F,2001,17,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,17-1,,,,,,,,,,,,0,
CZ4F,2001,,17-2,,,,,,,,,,,,0,
CZ4F,2001,,17-3,,,,,,,,,,,,0,
CZ4F,2001,18,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,18-1,33.6,LUPE,12,16,15,21/30,1,0,,,,754,
CZ4F,2001,,18-2,33.8,LUPE,16,16,12,21/24,1,0,,,,603,
CZ4F,2001,,18-3,39.55,LUPE,10,10,9,14/15,1,0,,,,283,
CZ4F,2001,,18-4,40.9,LUPE,11,22,12,20/28,1,0,,,,829,
CZ4F,2001,,18-5,41,LUPE,10,13,9,16/22,1,0,,,,368,
CZ4F,2001,,18-6,41.4,LUPE,13,13,9,16/17,2,0,,,,368,
CZ4F,2001,,18-7,43.4,LUPE,29,34,31,31/34,4,1,,,,3311,
CZ4F,2001,19,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,19-1,1.65,LUPE,9,29,17,14/17,3,0,,,,1549,
CZ4F,2001,,19-2,3.25,LUPE,14,26,16,16/20,2,1,,,,1307,
CZ4F,2001,,19-3,4,LUPE,7,10,9,20/34,1,1,,,,283,
CZ4F,2001,,19-4,4.65,LUPE,4,8,9,10-Oct,1,0,,,,226,
CZ4F,2001,,19-5,4.9,LUPE,5,14,12,9-Aug,1,0,,,,528,
CZ4F,2001,,19-6,5.3,LUPE,5,19,15,13-Sep,2,0,,,,895,
CZ4F,2001,,19-7,9.85,LUPE,19,20,18,22/30,3,3,,,,1131,
CZ4F,2001,,19-8,30.45,LUPE,10,16,10,14/18,2,0,,,,503,
CZ4F,2001,,19-9,33.35,LUPE,8,14,6,10-Sep,1,0,,,,264,
CZ4F,2001,,19-10,36.15,LUPE,5,9,7,15/18,1,0,,,,198,
CZ4F,2001,,19-11,39.55,LUPE,5,5,5,14-Dec,1,0,,,,79,
CZ4F,2001,,19-12,41.75,LUPE,6,10,7,17/20,1,0,,,,220,
CZ4F,2001,20,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,20-01,0,LUPE,5,11,8,8-Aug,1,0,,,,276,
CZ4F,2001,,20-02,10.06,LUPE,15,17,15,12-Oct,1,0,,,,801,
CZ4F,2001,,20-3,11.25,LUPE,11,11,9,7-Jul,1,0,,,,311,
CZ4F,2001,,20-4,16.2,LUPE,9,10,10,11-Sep,1,0,,,,314,
CZ4F,2001,,20-5,19.05,LUPE,5,10,5,10-Oct,1,0,,,,157,
CZ4F,2001,,20-6,19.85,LUPE,10,13,12,17/20,1,0,,,,490,
CZ4F,2001,,,,POSP,X,,,,,,,,,0,
CZ4F,2001,,20-7,21.7,LUPE,5,10,8,9-Jun,1,0,,,,251,
CZ4F,2001,,20-8,25.2,LUPE,8,8,7,19/21,1,0,,,,176,
CZ4F,2001,,20-9,26.05,LUPE,9,10,9,27/29,1,1,,,,283,
CZ4F,2001,,20-10,25.4,LUPE,13,20,12,29/33,1,1,,,,754,
CZ4F,2001,,20-11,28.6,LUPE,9,20,13,33/36,3,1,,,,817,
CZ4F,2001,,20-12,32.5,LUPE,11,13,10,13/15,1,0,,,,408,
CZ4F,2001,,20-13,34.1,LUPE,6,16,11,18/20,2,0,,,,553,
CZ4F,2001,,20-14,34.85,LUPE,24,30,16,30/34,3,1,,,,1508,
CZ4F,2001,,20-15,35.3,LUPE,7,13,8,22/24,1,0,,,,327,
CZ4F,2001,,20-16,35.8,LUPE,11,33,16,25/32,3,1,,,,1659,
CZ4F,2001,,20-17,36,LUPE,14,37,33,36/41,5,1,,,,3836,
CZ4F,2001,,20-18,36.2,LUPE,18,27,25,29/33,6,1,,,,2121,
CZ4F,2001,,20-19,36.4,LUPE,20,25,17,17/19,2,0,,,,1335,
CZ4F,2001,,20-20,36.7,LUPE,18,31,12,16/21,3,0,,,,1169,
CZ4F,2001,,20-21,37.1,LUPE,9,19,16,16/18,1,0,,,,955,
CZ4F,2001,,20-22,37.9,LUPE,8,18,15,38/44,2,1,,,,848,
CZ4F,2001,,20-23,38,LUPE,5,15,10,29/33,2,0,,,,471,
CZ4F,2001,20,20-24,30.05,LUPE,14,18,11,28/30,1,0,,,,622,
CZ4F,2001,,20-25,38.25,LUPE,37,49,28,32/33,4,9,,,,4310,
CZ4F,2001,21,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,21-1,0.07,LUPE,6,10,4,8-Aug,1,1,,,,126,
CZ4F,2001,,,,FRVI,,,,,,,,,,0,
CZ4F,2001,,21-2,12.35,LUPE,10,21,12,36/40,2,2,,,,792,
CZ4F,2001,,21-3,16.3,LUPE,15,23,21,17/21,3,0,,,,1517,
CZ4F,2001,,21-4,16.5,LUPE,20,24,18,15/31,1,1,,,,1357,
CZ4F,2001,,21-5,19.3,LUPE,10,14,11,15/16,1,0,,,,484,
CZ4F,2001,,21-6,34.3,LUPE,5,12,5,11-Nov,1,0,,,,188,
CZ4F,2001,,21-7,35.45,LUPE,10,14,9,18/19,1,0,,,,396,
CZ4F,2001,,21-8,36.35,LUPE,15,20,15,20/25,2,0,,,,942,
CZ4F,2001,,21-9,37.15,LUPE,20,28,15,21.24,1,0,,,,1319,
CZ4F,2001,22,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,22-1,12.6,LUPE,20,23,10,27/30,2,0,,,,723,
CZ4F,2001,,22-2,13.55,LUPE,15,37,29,24/25,1,0,,,,3371,
CZ4F,2001,,22-3,15.05,LUPE,5,7,6,13-Oct,1,0,,,,132,
CZ4F,2001,,22-4,34.6,LUPE,10,15,11,25/31,1,0,,,,518,
CZ4F,2001,,22-5,35.65,LUPE,5,12,9,16/16,1,0,,,,339,
CZ4F,2001,,22-6,35.85,LUPE,5,10,6,13/15,1,0,,,,188,
CZ4F,2001,,22-7,36.15,LUPE,12,21,17,15/22,2,0,,,,1122,
CZ4F,2001,,22-8,37.85,LUPE,9,12,8,20/23,1,0,,,,302,
CZ4F,2001,,22-9,38,LUPE,5,15,10,15/16,1,0,,,,471,
CZ4F,2001,,22-10,38.6,LUPE,10,20,13,33/39,1,1,,,,817,
CZ4F,2001,,22-11,38.8,LUPE,5,12,9,23/27,1,0,,,,339,
CZ4F,2001,,22-12,39.4,LUPE,5,19,13,16/19,1,0,,,,776,
CZ4F,2001,,22-13,40.05,LUPE,15,20,10,24/28,2,0,,,,628,
CZ4F,2001,,22-14,40.2,LUPE,5,5,4,17/18,1,0,,,,63,
CZ4F,2001,,22-15,40.3,LUPE,5,19,13,22/27,2,0,,,,776,
CZ4F,2001,23,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,,23-1,0.04,LUPE,20,22,12,14/15,2,0,,,,829,
CZ4F,2001,,23-2,4.6,LUPE,5,25,12,25/31,1,1,,,,942,
CZ4F,2001,,23-3,5.4,LUPE,5,12,7,9-Aug,1,1,,,,264,
CZ4F,2001,,23-4,5.6,LUPE,10,19,12,10-Sep,2,0,,,,716,
CZ4F,2001,,23-5,6.05,LUPE,5,10,9,12-Sep,1,0,,,,283,
CZ4F,2001,,23-6,6.25,LUPE,15,33,15,14/20,2,0,,,,1555,
CZ4F,2001,,23-7,6.5,LUPE,10,13,10,12-Oct,1,1,,,,408,
CZ4F,2001,,23-8,7.25,LUPE,5,15,10,12-Sep,1,0,,,,471,
CZ4F,2001,,23-9,7.45,LUPE,15,18,16,15/20,2,0,,,,905,
CZ4F,2001,,23-10,8.15,LUPE,5,9,8,11-Oct,1,0,,,,226,
CZ4F,2001,,23-11,8.3,LUPE,10,25,18,23/20,2,0,,,,1414,
CZ4F,2001,,23-12,8.6,LUPE,8,15,9,14-Oct,1,0,,,,424,
CZ4F,2001,,23-13,8.8,LUPE,5,13,7,15-Jul,1,0,,,,286,
CZ4F,2001,,23-14,21.15,LUPE,10,21,12,21/24,1,0,,,,792,
CZ4F,2001,,23-15,21.75,LUPE,15,24,14,29/32,1,0,,,,1056,
CZ4F,2001,,23-16,34.1,LUPE,10,14,12,17/20,1,0,,,,528,
CZ4F,2001,,23-17,34.25,LUPE,5,5,3,10-Oct,1,0,,,,47,
CZ4F,2001,,23-18,35.4,LUPE,10,15,8,15/18,1,0,,,,377,
CZ4F,2001,,23-19,36.5,LUPE,3,5,10,17/18,1,0,,,,157,
CZ4F,2001,,23-20,36.25,LUPE,5,9,10,17/17,1,1,,,,283,
CZ4F,2001,,23-21,37.4,LUPE,10,38,16,34/40,1,0,,,,1910,
CZ4F,2001,,23-22,38.3,LUPE,5,6,6,13-Dec,1,0,,,,113,
CZ4F,2001,,23-23,38.7,LUPE,10,14,11,14-Sep,1,0,,,,484,
CZ4F,2001,,23-24,43.9,LUPE,25,31,15,13/18,2,0,,,,1461,
CZ4F,2001,24,,,POSI,,,,,,,,,,0,
CZ4F,2001,,,,VASP,,,,,,,,,,0,
CZ4F,2001,,24-1,0.25,LUPE,5,23,9,17/22,2,2,,,,650,
CZ4F,2001,,24-2,0.4,LUPE,5,15,9,14/10,2,0,,,,424,
CZ4F,2001,,24-3,0.5,LUPE,3,4,3,11-Aug,1,0,,,,38,
CZ4F,2001,,24-4,0.55,LUPE,13,16,12,16-Dec,4,0,,,,603,
CZ4F,2001,,24-5,1,LUPE,4,14,8,10-Sep,2,0,,,,352,
CZ4F,2001,,24-6,1.85,LUPE,3,27,9,35/36,5,3,,,,763,
CZ4F,2001,,24-7,9.8,LUPE,15,20,9,14/18,2,1,,,,565,
CZ4F,2001,,24-8,4.95,LUPE,6,7,3,10-Sep,1,0,,,,66,
CZ4F,2001,,24-9,5.25,LUPE,4,12,5,14/22,1,1,,,,188,
CZ4F,2001,,24-10,5.65,LUPE,9,18,9,24/27,1,1,,,,509,
CZ4F,2001,,24-11,6.2,LUPE,4,3,4,8-Aug,1,0,,,,38,
CZ4F,2001,,24-12,6.4,LUPE,3,4,3,7-Jul,1,0,,,,38,
CZ4F,2001,,24-13,7.1,LUPE,29,29,17,29/33,3,0,,,,1549,
CZ4F,2001,,24-14,7.4,LUPE,18,25,19,30/36,4,1,,,,1492,
CZ4F,2001,,24-15,7.7,LUPE,5,10,6,11-Oct,1,0,,,,188,
CZ4F,2001,,24-16,34.55,LUPE,14,26,14,16/20,3,0,,,,1144,
CZ4F,2001,,24-17,36.4,LUPE,5,12,8,9-Aug,1,0,,,,302,
CZ4F,2001,25,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,,25-1,34,LUPE,20,25,18,22/25,4,0,,,,1414,
CZ4F,2001,,25-2,35,5,8,5,15/15,1,0,,,,,#VALUE!,
CZ4F,2001,26,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,,26-1,31.85,LUPE,6,17,18,24/31,1,0,,,,961,
CZ4F,2001,,26-2,32.3,LUPE,19,19,10,19/22,2,0,,,,597,
CZ4F,2001,,26-3,32.5,LUPE,4,7,4,16/16,1,0,,,,88,
CZ4F,2001,27,,,POSI,,,,,,,,,,0,
CZ4F,2001,,,,VASP,,,,,,,,,,0,
CZ4F,2001,,27-1,32.6,LUPE,5,19,10,20/24,2,0,,,,597,
CZ4F,2001,,27-2,34.8,LUPE,14,15,10,14-Dec,1,0,,,,471,
CZ4F,2001,,27-3,39.2,LUPE,5,12,8,12-Oct,1,0,,,,302,
CZ4F,2001,28,,,POSI,,,,,,,,,,0,
CZ4F,2001,,,,VASP,,,,,,,,,,0,
CZ4F,2001,,28-1,21.05,LUPE,8,13,8,14/15,1,0,,,,327,
CZ4F,2001,,28-2,23.6,LUPE,15,18,15,25/30,1,1,,,,848,
CZ4F,2001,,28-3,32.15,LUPE,10,13,10,40/40,2,2,,,,408,
CZ4F,2001,,28-4,32.65,LUPE,9,9,5,18/20,1,0,,,,141,
CZ4F,2001,,28-5,33.7,LUPE,13,37,29,22/26,3,0,,,,3371,
CZ4F,2001,,28-6,34.25,LUPE,7,30,16,18/22,2,0,,,,1508,
CZ4F,2001,,28-7,36.65,LUPE,9,26,15,25/27,3,1,,,,1225,
CZ4F,2001,29,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,,29-1,31.3,LUPE,15,25,12,20/23,2,0,,,,942,
CZ4F,2001,,29-2,31.75,LUPE,10,16,6,14/17,1,0,,,,302,
CZ4F,2001,,29-3,32.05,LUPE,5,7,5,12-Nov,1,0,,,,110,
CZ4F,2001,30,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,,30-1,56.4,LUPE,10,14,9,15/17,1,0,,,,396,
CZ4F,2001,,30-2,56.6,LUPE,8,14,10,4-Dec,1,0,,,,440,
CZ4F,2001,,30-3,55.4,LUPE,13,13,11,22/23,1,0,,,,449,
CZ4F,2001,31,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,,31-1,59.6,LUPE,10,16,10,30/32,2,2,,,,503,
CZ4F,2001,,31-2,60,LUPE,5,18,12,36/42,1,1,,,,679,
CZ4F,2001,32,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,33,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,34,,,VASP,,,,,,,,,,0,
CZ4F,2001,35,,,POSI,,,,,,,,,,0,
CZ4F,2001,,,,VASP,,,,,,,,,,0,
CZ4F,2001,36,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,37,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ4F,2001,38,,,VASP,,,,,,,,,,0,
CZ4F,2001,,,,POSI,,,,,,,,,,0,
CZ1A,2001,0,,,VASP,X,,,,,,,,,0,
CZ1A,2001,0,,,MESP,X,,,,,,,,,0,
CZ1A,2001,0,,,POSI,X,,,,,,,,,0,
CZ1A,2001,0,0-1,34.4,APAN,5,8,7,28/28,,,,,,176,
CZ1A,2001,0,0-2,34.9,APAN,11,15,14,34/34,28,22,,,,660,
CZ1A,2001,0,0-3,36.15,APAN,18,23,19,45/45,,,,,,1373,
CZ1A,2001,0,0-4,37.3,APAN,7,16,8,24/32,,,,,,402,
CZ1A,2001,1,,,VASP,X,,,,,,,,,0,
CZ1A,2001,1,1-Jan,2.6,LUPE,48,68,51,28/34,,,,,,10895,
CZ1A,2001,1,,,POSI,X,,,,,,,,,0,
CZ1A,2001,1,2-Jan,26.8,LUPE,14,44,39,29/34,7,2,,,,5391,
CZ1A,2001,1,3-Jan,36.2,APAN,5,10,7,16/10,,,,,,220,
CZ1A,2001,1,4-Jan,39.5,APAN,6,10,8,22/22,,,,,,251,
CZ1A,2001,1,,,COUM,X,,,,,,,,,0,
CZ1A,2001,2,1-Feb,0.65,LUPE,14,20,20,24-Oct,1,0,,,,1257,
CZ1A,2001,2,,,VASP,X,,,,,,,,,0,
CZ1A,2001,2,,,POSI,X,,,,,,,,,0,
CZ1A,2001,2,2-Feb,27,LUPE,10,16,15,19/23,2,0,,,,754,
CZ1A,2001,2,3-Feb,34.7,APAN,23,33,26,45/48,,,,,,2695,
CZ1A,2001,2,4-Feb,35,APAN,25,34,23,47/47,,,,,,2457,
CZ1A,2001,2,5-Feb,36.15,APAN,19,16,15,38/42,,,,,,754,
CZ1A,2001,2,6-Feb,35.6,APAN,15,26,21,35/47,,,,,,1715,
CZ1A,2001,2,7-Feb,39.3,APAN,40,67,43,51/53,,,,,,9051,
CZ1A,2001,2,8-Feb,39.8,APAN,6,14,9,18/25,,,,,,396,
CZ1A,2001,2,,,FRNI,X,,,,,,,,,0,
CZ1A,2001,2,,,COUM,X,,,,,,,,,0,
CZ1A,2001,3,,,VASP,X,,,,,,,,,0,
CZ1A,2001,3,1-Mar,3.8,LUPE,21,43,33,23/32,5,4,,,,4458,
CZ1A,2001,3,,,POSI,X,,,,,,,,,0,
CZ1A,2001,3,2-Mar,27.2,LUPE,16,19,11,38/46,1,0,,,,657,
CZ1A,2001,3,3-Mar,32.5,APAN,22,22,16,28/30,,,,,,1106,
CZ1A,2001,3,4-Mar,35.1,APAN,4,13,7,33/38,,,,,,286,
CZ1A,2001,3,5-Mar,36.05,APAN,20,25,20,40/52,,,,,,1571,
CZ1A,2001,3,6-Mar,38.2,APAN,10,8,8,25/20,,,,,,201,
CZ1A,2001,3,7-Mar,38.3,APAN,7,10,9,28/33,,,,,,283,
CZ1A,2001,3,8-Mar,39,APAN,13,24,14,34/37,,,,,,1056,
CZ1A,2001,3,9-Mar,39.35,APAN,39,37,32,55/63,3,,,,,3720,
CZ1A,2001,3,10-Mar,39.8,APAN,67,19,18,34/42,,,,,,1074,
CZ1A,2001,3,,,COUM,X,,,,,,,,,0,
CZ1A,2001,3,11-Mar,53.1,LUPE,40,52,32,15/23,12,9,,,,5227,
CZ1A,2001,4,,,VASP,X,,,,,,,,,0,
CZ1A,2001,,1-Apr,4.2,LUPE,20,13,12,15-Oct,1,0,,,,490,
CZ1A,2001,,2-Apr,4.7,LUPE,16,17,14,16/20,1,0,1,,,748,TENDED BY ANT
CZ1A,2001,,3-Apr,5,LUPE,26,43,30,25/31,5,6,,,,4053,
CZ1A,2001,,,,POSI,X,,,,,,,,,0,
CZ1A,2001,,4-Apr,23.5,LUPE,20,30,13,21/21,5,0,,,,1225,
CZ1A,2001,,5-Apr,23.9,LUPE,11,19,14,18/26,1,0,,,,836,
CZ1A,2001,,6-Apr,27.05,LUPE,10,11,10,18/22,0,,,,,346,
CZ1A,2001,,7-Apr,27.6,LUPE,25,34,27,25/38,2,2,,,,2884,
CZ1A,2001,,8-Apr,28,LUPE,49,78,52,46/50,9,15,,,,12742,
CZ1A,2001,,9-Apr,28.8,LUPE,9,19,11,17/22,1,0,,,,657,
CZ1A,2001,,10-Apr,31,LUPE,42,58,45,31/34,10,7,,,,8199,
CZ1A,2001,,11-Apr,39.65,LUPE,20,27,21,45/50,,,,,,1781,
CZ1A,2001,,12-Apr,43.6,LUPE,10,10,9,17/23,,,,,,283,
CZ1A,2001,,,,COUM,X,,,,,,,,,0,
CZ1A,2001,5,1-May,1.8,LUPE,35,53,46,38/44,7,15,,,,7659,
CZ1A,2001,,,,VASP,X,,,,,,,,,0,
CZ1A,2001,,2-May,6.9,LUPE,10,17,10,18/24,1,1,,,,534,
CZ1A,2001,,,,POSI,X,,,,,,,,,0,
CZ1A,2001,,3-May,25.85,LUPE,17,20,17,28/31,1,1,,,,1068,
CZ1A,2001,,4-May,26.5,LUPE,22,25,19,21/25,4,0,,,,1492,
CZ1A,2001,,5-May,26.8,LUPE,27,25,28,28/40,2,1,,,,2199,
CZ1A,2001,,6-May,27.15,LUPE,26,30,27,24/29,3,0,,,,2545,
CZ1A,2001,,7-May,27.8,LUPE,21,24,12,20/24,2,0,,,,905,
CZ1A,2001,,8-May,28.6,LUPE,50,65,58,47/57,17,11,,,,11843,
CZ1A,2001,,9-May,29.35,LUPE,15,24,15,17/24,2,0,,,,1131,
CZ1A,2001,,10-May,34.75,APAN,5,12,8,37/44,,,,,,302,
CZ1A,2001,,11-May,39.8,APAN,20,22,20,36/42,,,,,,1382,
CZ1A,2001,,12-May,49.6,LUPE,6,8,6,17/21,1,0,,,,151,
CZ1A,2001,,,,COUM,X,,,,,,,,,0,
CZ1A,2001,6,1-Jun,0.9,LUPE,50,60,56,30/33,17,7,,,,10555,
CZ1A,2001,,,,VASP,X,,,,,,,,,0,
CZ1A,2001,,2-Jun,6,LUPE,29,38,25,24/30,5,4,,,,2984,
CZ1A,2001,,,,POSI,X,,,,,,,,,0,
CZ1A,2001,,3-Jun,20.85,LUPE,40,45,40,42/44,6,2,,,,5655,
CZ1A,2001,,4-Jun,21.3,LUPE,23,28,16,22/29,4,0,,,,1407,
CZ1A,2001,,5-Jun,22.6,LUPE,15,27,14,19/28,4,2,,,,1187,
CZ1A,2001,,6-Jun,23.3,LUPE,12,13,14,31/25,1,1,,,,572,
